fitness: 0.8868 | erro: 0.13 | a: 1.12 | b: 0.30
fitness: 0.8868 | erro: 0.13 | a: 1.12 | b: 0.30
fitness: 0.8868 | erro: 0.13 | a: 1.12 | b: 0.30
fitness: 0.8868 | erro: 0.13 | a: 1.12 | b: 0.30
fitness: 0.8868 | erro: 0.13 | a: 1.12 | b: 0.30
fitness: 0.8868 | erro: 0.13 | a: 1.12 | b: 0.30
fitness: 0.8868 | erro: 0.13 | a: 1.12 | b: 0.30
fitness: 0.9048 | erro: 0.11 | a: 1.10 | b: 0.30
fitness: 0.9048 | erro: 0.11 | a: 1.10 | b: 0.30
fitness: 0.9048 | erro: 0.11 | a: 1.10 | b: 0.30
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9200 | erro: 0.09 | a: 1.10 | b: 0.40
fitness: 0.9212 | erro: 0.09 | a: 1.10 | b: 0.43
fitness: 0.9212 | erro: 0.09 | a: 1.10 | b: 0.43
fitness: 0.9212 | erro: 0.09 | a: 1.10 | b: 0.43
fitness: 0.9212 | erro: 0.09 | a: 1.10 | b: 0.43
fitness: 0.9212 | erro: 0.09 | a: 1.10 | b: 0.43
fitness: 0.9212 | erro: 0.09 | a: 1.10 | b: 0.43
fitness: 0.9212 | erro: 0.09 | a: 1.10 | b: 0.43
fitness: 0.9212 | erro: 0.09 | a: 1.10 | b: 0.43
fitness: 0.9212 | erro: 0.09 | a: 1.10 | b: 0.43
fitness: 0.9212 | erro: 0.09 | a: 1.10 | b: 0.43
fitness: 0.9212 | erro: 0.09 | a: 1.10 | b: 0.43
